hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-50765.66, -49799.15, -49291.61, -50194.016, -50810.88, -49980.715, -49222.027, -50000.094, -50780.527, -50136.46]","[-66712.31, -66241.07, -66336.42, -66812.96, -66781.89, -66301.58, -66259.22, -66751.41, -66824.766, -66369.234]","[-88478.8, -88615.62, -88579.41, -88435.37, -88454.55, -88613.65, -88611.34, -88457.055, -88452.38, -88603.7]","[-84802.336, -84815.59, -84867.984, -84855.38, -84800.87, -84809.23, -84858.17, -84854.64, -84809.47, -84809.25]","[-87799.44, -87945.555, -87900.02, -87744.61, -87767.92, -87935.61, -87924.32, -87756.62, -87754.42, -87915.22]","[-92822.97, -92941.7, -92915.69, -92786.14, -92789.67, -92923.84, -92926.46, -92792.82, -92781.06, -92909.2]","[-71915.266, -71432.64, -71572.66, -72065.016, -71989.25, -71479.74, -71478.06, -71994.99, -72036.7, -71552.0]","[-87588.484, -87610.63, -87662.336, -87644.07, -87589.96, -87610.59, -87669.555, -87665.87, -87619.664, -87624.72]"
Left,2025-10-28 18:44:25,"[-49192.03, -49753.22, -50683.05, -50306.086, -49240.78, -49535.2, -50572.656, -50453.566, -49325.45, -49346.395]","[-66202.734, -66679.52, -66865.4, -66464.68, -66177.37, -66591.52, -66886.03, -66562.13, -66180.9, -66512.35]","[-88639.11, -88489.75, -88440.805, -88573.73, -88648.13, -88515.92, -88430.56, -88549.766, -88661.37, -88556.586]","[-84860.81, -84876.03, -84825.67, -84804.016, -84850.06, -84876.55, -84830.125, -84805.445, -84845.99, -84884.88]","[-87946.09, -87784.086, -87737.34, -87882.66, -87957.29, -87812.29, -87725.75, -87856.234, -87970.9, -87851.45]","[-92946.31, -92822.484, -92771.695, -92879.45, -92950.266, -92838.91, -92758.64, -92858.336, -92959.12, -92871.99]","[-71427.55, -71935.734, -72096.11, -71653.68, -71390.664, -71847.16, -72122.93, -71747.83, -71380.586, -71757.26]","[-87680.8, -87690.45, -87639.445, -87625.234, -87676.82, -87703.62, -87655.3, -87630.71, -87678.945, -87721.68]"
Left,2025-10-28 18:44:25,"[-50427.457, -50564.137, -49486.023, -49212.082, -50236.527, -50621.805, -49638.867, -49116.996, -50053.805, -50676.793]","[-66895.35, -66659.65, -66214.61, -66427.57, -66874.27, -66737.64, -66259.016, -66347.06, -66835.49, -66816.78]","[-88441.625, -88539.555, -88667.07, -88594.85, -88455.734, -88515.32, -88659.914, -88614.09, -88469.39, -88503.27]","[-84845.19, -84813.625, -84837.63, -84889.04, -84861.234, -84814.55, -84830.03, -84876.836, -84862.555, -84820.336]","[-87731.54, -87839.27, -87971.125, -87886.3, -87739.96, -87808.47, -87961.516, -87905.92, -87751.36, -87793.0]","[-92770.87, -92849.86, -92959.61, -92906.414, -92786.16, -92828.23, -92954.29, -92920.16, -92793.734, -92815.93]","[-72135.805, -71850.98, -71416.46, -71675.875, -72123.78, -71936.766, -71442.48, -71573.59, -72077.6, -72013.55]","[-87678.74, -87644.766, -87675.55, -87721.7, -87687.28, -87639.49, -87659.66, -87708.24, -87692.17, -87648.32]"
Left,2025-10-28 18:44:25,"[-49845.53, -49060.203, -49824.453, -50637.965, -50019.83, -49064.74, -49596.82, -50532.62, -50165.16, -49106.65]","[-66344.695, -66295.43, -66786.79, -66876.29, -66426.68, -66249.766, -66717.12, -66911.984, -66515.375, -66223.97]","[-88665.5, -88669.64, -88510.31, -88498.02, -88653.32, -88687.79, -88541.38, -88490.76, -88622.14, -88698.96]","[-84835.47, -84890.516, -84880.88, -84834.55, -84834.86, -84882.445, -84898.09, -84852.38, -84830.99, -84876.7]","[-87965.67, -87962.81, -87791.26, -87785.05, -87951.7, -87982.59, -87824.38, -87776.46, -87919.56, -87998.664]","[-92956.234, -92966.31, -92824.9, -92808.94, -92942.33, -92978.83, -92856.81, -92808.35, -92915.664, -92988.71]","[-71511.73, -71506.625, -72036.07, -72094.81, -71610.34, -71469.234, -71970.72, -72140.61, -71701.83, -71436.4]","[-87668.5, -87725.75, -87719.664, -87669.78, -87674.07, -87725.39, -87733.01, -87682.23, -87665.305, -87717.27]"
Left,2025-10-28 18:44:25,"[-49388.348, -50427.68, -50328.17, -49227.973, -49214.45, -50274.46, -50439.816, -49375.34, -49070.016, -50097.03]","[-66636.63, -66935.586, -66618.86, -66238.03, -66564.88, -66950.94, -66723.445, -66276.66, -66480.59, -66933.26]","[-88565.77, -88481.414, -88598.54, -88706.45, -88610.766, -88496.5, -88583.984, -88713.2, -88643.42, -88499.32]","[-84906.21, -84862.11, -84838.86, -84880.234, -84931.04, -84893.96, -84857.68, -84884.95, -84937.37, -84902.79]","[-87855.21, -87770.14, -87900.05, -88012.14, -87903.89, -87784.98, -87885.05, -88023.09, -87943.5, -87792.89]","[-92880.82, -92804.6, -92901.92, -93001.92, -92928.49, -92825.875, -92896.04, -93013.01, -92961.914, -92832.43]","[-71890.41, -72175.77, -71811.195, -71439.414, -71807.57, -72193.12, -71917.836, -71470.555, -71718.3, -72173.734]","[-87742.04, -87693.94, -87672.08, -87718.77, -87767.21, -87729.19, -87692.58, -87726.93, -87777.16, -87741.08]"
Left,2025-10-28 18:44:25,"[-50499.273, -49523.016, -48964.74, -49894.39, -50553.32, -49753.285, -48969.453, -49721.434, -50539.773, -49939.363]","[-66807.266, -66328.16, -66403.34, -66892.16, -66880.04, -66405.24, -66352.2, -66847.05, -66936.37, -66484.7]","[-88562.125, -88707.66, -88664.14, -88510.27, -88535.82, -88698.92, -88707.34, -88549.945, -88530.19, -88680.55]","[-84865.15, -84878.16, -84924.6, -84908.06, -84862.11, -84874.914, -84932.586, -84931.87, -84879.56, -84876.52]","[-87864.98, -88018.29, -87964.69, -87800.16, -87832.055, -88005.21, -88006.51, -87838.914, -87823.625, -87987.62]","[-92881.16, -93006.55, -92975.21, -92841.57, -92854.76, -92993.984, -93007.4, -92875.7, -92850.82, -92978.61]","[-71992.04, -71495.945, -71613.11, -72124.45, -72074.32, -71574.96, -71563.71, -72087.75, -72147.875, -71661.99]","[-87697.875, -87718.664, -87765.484, -87745.75, -87697.96, -87714.1, -87772.95, -87766.72, -87706.79, -87702.55]"
Left,2025-10-28 18:44:25,"[-48972.492, -49485.867, -50444.78, -50102.71, -49042.03, -49309.402, -50376.406, -50304.547, -49218.81, -49180.992]","[-66296.234, -66760.15, -66963.79, -66576.1, -66275.625, -66682.54, -66991.93, -66678.74, -66290.734, -66598.19]","[-88721.02, -88574.06, -88515.68, -88647.664, -88727.664, -88594.96, -88505.78, -88627.055, -88737.25, -88646.52]","[-84924.65, -84938.195, -84887.586, -84870.734, -84914.01, -84945.39, -84898.14, -84871.766, -84907.484, -84953.414]","[-88026.69, -87867.86, -87811.625, -87957.11, -88038.11, -87893.25, -87801.41, -87933.64, -88047.03, -87942.734]","[-93020.336, -92896.734, -92842.04, -92953.28, -93027.49, -92918.46, -92834.305, -92932.695, -93030.35, -92957.484]","[-71509.35, -72011.375, -72194.91, -71759.02, -71481.91, -71930.46, -72223.805, -71858.0, -71479.9, -71832.67]","[-87755.09, -87765.96, -87710.93, -87695.52, -87744.45, -87773.0, -87724.984, -87703.88, -87744.92, -87787.68]"
Left,2025-10-28 18:44:25,"[-50235.344, -50424.863, -49364.97, -49053.453, -50069.83, -50498.895, -49553.84, -48954.88, -49857.867, -50514.81]","[-66987.17, -66768.55, -66317.49, -66509.02, -66964.82, -66846.96, -66365.59, -66427.8, -66919.67, -66913.91]","[-88525.13, -88611.57, -88741.14, -88669.484, -88535.39, -88590.18, -88732.336, -88710.164, -88550.414, -88567.71]","[-84912.49, -84874.086, -84895.59, -84943.49, -84925.32, -84886.72, -84896.53, -84957.375, -84941.97, -84894.586]","[-87815.69, -87911.58, -88047.79, -87967.1, -87825.52, -87889.38, -88041.625, -88011.086, -87842.266, -87867.75]","[-92849.77, -92914.836, -93026.71, -92973.06, -92856.86, -92899.26, -93021.164, -93010.46, -92874.07, -92885.336]","[-72224.836, -71961.98, -71513.22, -71755.42, -72217.73, -72054.76, -71560.27, -71662.77, -72173.72, -72124.03]","[-87746.13, -87705.74, -87735.16, -87781.56, -87754.734, -87712.36, -87730.26, -87788.914, -87770.23, -87719.016]"
Left,2025-10-28 18:44:25,"[-49720.72, -48905.46, -49639.113, -50481.617, -49913.21, -48927.945, -49406.88, -50364.293, -50053.582, -48975.6]","[-66439.31, -66369.8, -66866.945, -66976.555, -66539.94, -66342.414, -66803.04, -67013.7, -66631.6, -66321.07]","[-88721.336, -88730.305, -88577.15, -88563.42, -88716.82, -88768.97, -88627.62, -88564.43, -88691.766, -88773.24]","[-84901.83, -84953.55, -84952.9, -84910.34, -84908.4, -84963.36, -84988.22, -84932.586, -84908.16, -84950.086]","[-88033.51, -88037.195, -87872.11, -87861.82, -88026.625, -88077.05, -87922.266, -87859.37, -88000.3, -88083.69]","[-93020.61, -93032.875, -92900.87, -92882.516, -93011.51, -93066.23, -92951.14, -92887.68, -92992.4, -93068.375]","[-71618.25, -71584.5, -72112.49, -72191.484, -71718.68, -71555.89, -72057.69, -72249.484, -71821.79, -71531.15]","[-87728.41, -87785.23, -87784.15, -87735.086, -87741.28, -87800.65, -87819.58, -87761.914, -87738.42, -87783.62]"
Left,2025-10-28 18:44:25,"[-49224.44, -50286.82, -50235.457, -49129.895, -49068.83, -50139.477, -50355.62, -49300.84, -48975.867, -49998.15]","[-66720.07, -67034.734, -66730.77, -66333.766, -66634.59, -67033.82, -66822.77, -66370.24, -66553.305, -67012.63]","[-88641.52, -88549.37, -88664.5, -88778.54, -88683.516, -88559.65, -88644.41, -88783.23, -88713.875, -88575.96]","[-84977.17, -84936.83, -84913.31, -84950.266, -84994.12, -84952.86, -84915.93, -84947.72, -84994.61, -84972.81]","[-87940.08, -87848.75, -87976.78, -88094.82, -87985.92, -87856.62, -87952.234, -88099.49, -88020.01, -87875.1]","[-92959.875, -92879.34, -92975.68, -93078.48, -93000.29, -92886.2, -92951.984, -93076.266, -93023.89, -92903.22]","[-71969.42, -72269.875, -71913.2, -71524.71, -71872.836, -72273.516, -72014.95, -71565.125, -71802.766, -72273.49]","[-87806.15, -87755.92, -87729.86, -87772.1, -87814.95, -87776.17, -87740.19, -87776.62, -87821.63, -87792.49]"
Left,2025-10-28 18:44:25,"[-50450.324, -49502.32, -48896.586, -49781.87, -50461.656, -49699.438, -48898.555, -49604.152, -50427.86, -49884.49]","[-66904.16, -66420.53, -66471.54, -66961.49, -66964.22, -66487.45, -66406.3, -66892.18, -66997.586, -66552.97]","[-88629.05, -88774.555, -88744.74, -88594.94, -88601.805, -88754.64, -88757.57, -88613.4, -88586.266, -88719.46]","[-84933.32, -84944.03, -84995.88, -84985.96, -84932.36, -84933.03, -84980.375, -84988.734, -84936.45, -84918.125]","[-87937.086, -88092.18, -88055.19, -87894.81, -87908.3, -88074.01, -88072.266, -87918.04, -87895.98, -88042.74]","[-92943.516, -93070.3, -93053.305, -92923.51, -92919.24, -93048.93, -93057.82, -92937.28, -92907.06, -93020.49]","[-72113.055, -71610.2, -71703.81, -72207.4, -72169.13, -71666.87, -71629.945, -72142.53, -72216.695, -71740.65]","[-87746.35, -87766.0, -87821.1, -87805.72, -87747.85, -87751.43, -87804.875, -87809.19, -87754.78, -87742.195]"
Left,2025-10-28 18:44:25,"[-48923.7, -49380.523, -50347.797, -50038.65, -48967.13, -49161.254, -50204.297, -50178.906, -49052.734, -48985.703]","[-66342.08, -66791.77, -67016.14, -66632.92, -66315.48, -66708.734, -67036.93, -66742.6, -66338.08, -66635.22]","[-88760.66, -88625.13, -88560.2, -88689.69, -88767.805, -88655.984, -88559.49, -88668.66, -88783.63, -88679.18]","[-84962.78, -84989.54, -84940.01, -84917.12, -84955.05, -84994.766, -84952.09, -84924.42, -84963.32, -85000.375]","[-88083.82, -87936.1, -87872.93, -88015.05, -88094.39, -87969.36, -87870.09, -87992.76, -88112.836, -87995.78]","[-93067.48, -92959.586, -92898.7, -93001.9, -93074.43, -92982.85, -92893.72, -92984.77, -93091.664, -93006.81]","[-71560.79, -72043.14, -72244.19, -71816.18, -71520.93, -71951.02, -72264.8, -71919.64, -71524.95, -71869.42]","[-87786.945, -87805.01, -87753.195, -87731.02, -87773.445, -87810.08, -87765.71, -87734.086, -87774.945, -87811.33]"
Left,2025-10-28 18:44:25,"[-50046.875, -50252.71, -49208.17, -48833.58, -49838.223, -50303.184, -49373.527, -48753.18, -49634.887, -50344.957]","[-67035.38, -66829.77, -66372.81, -66542.84, -67006.82, -66908.43, -66429.695, -66467.805, -66960.375, -66977.49]","[-88557.92, -88643.8, -88773.44, -88715.64, -88572.41, -88624.734, -88769.93, -88743.82, -88587.54, -88599.45]","[-84962.83, -84927.484, -84945.95, -85000.51, -84975.41, -84932.445, -84943.71, -84994.32, -84982.336, -84936.23]","[-87868.664, -87964.555, -88101.52, -88033.195, -87882.45, -87943.36, -88098.64, -88063.664, -87896.984, -87915.49]","[-92898.88, -92967.25, -93079.57, -93038.0, -92911.125, -92949.33, -93076.93, -93060.28, -92924.0, -92930.62]","[-72271.055, -72012.9, -71557.34, -71778.94, -72254.56, -72106.484, -71611.03, -71697.805, -72212.74, -72185.07]","[-87769.086, -87731.65, -87758.875, -87811.64, -87783.7, -87737.46, -87754.0, -87809.52, -87794.68, -87745.04]"
Left,2025-10-28 18:44:25,"[-49588.73, -48730.492, -49414.363, -50279.6, -49763.387, -48753.246, -49206.383, -50188.406, -49900.47, -48823.387]","[-66506.586, -66412.6, -66902.95, -67032.7, -66602.79, -66381.87, -66834.69, -67064.82, -66692.6, -66367.29]","[-88758.375, -88778.086, -88624.64, -88597.484, -88746.08, -88804.06, -88661.5, -88599.9, -88731.71, -88814.91]","[-84944.586, -85003.21, -85007.93, -84962.24, -84956.34, -85010.39, -85030.664, -84980.125, -84960.03, -84996.484]","[-88086.15, -88100.43, -87935.27, -87912.07, -88071.22, -88127.92, -87972.8, -87911.445, -88055.75, -88141.555]","[-93070.67, -93093.49, -92962.16, -92934.64, -93060.52, -93118.016, -93000.49, -92943.83, -93048.91, -93120.43]","[-71683.586, -71631.87, -72155.97, -72254.74, -71783.945, -71590.89, -72082.12, -72290.055, -71870.42, -71565.66]","[-87757.22, -87816.16, -87817.3, -87767.55, -87764.28, -87817.836, -87834.04, -87784.51, -87766.13, -87807.76]"
Left,2025-10-28 18:44:25,"[-49011.832, -50063.438, -50039.61, -48949.94, -48832.414, -49891.887, -50158.008, -49108.504, -48717.727, -49701.25]","[-66749.69, -67080.96, -66799.28, -66396.91, -66681.65, -67098.375, -66908.625, -66445.79, -66601.266, -67064.445]","[-88697.336, -88606.49, -88720.35, -88835.266, -88749.37, -88620.914, -88695.43, -88834.91, -88774.24, -88631.125]","[-85031.94, -84995.055, -84973.555, -85006.97, -85057.35, -85024.07, -84982.92, -85006.63, -85055.25, -85032.63]","[-88011.336, -87916.945, -88041.78, -88160.0, -88059.39, -87924.07, -88007.96, -88154.68, -88084.29, -87933.73]","[-93025.945, -92941.44, -93033.73, -93134.555, -93068.46, -92956.19, -93013.74, -93137.46, -93092.84, -92968.484]","[-71993.41, -72314.375, -71977.22, -71584.77, -71917.01, -72337.33, -72101.19, -71631.62, -71836.07, -72311.85]","[-87840.3, -87796.02, -87773.516, -87811.664, -87860.88, -87826.4, -87782.5, -87811.555, -87861.29, -87833.8]"
Left,2025-10-28 18:44:25,"[-50189.902, -49276.387, -48644.95, -49484.19, -50186.26, -49446.574, -48574.945, -49247.91, -50139.926, -49640.027]","[-66973.875, -66493.086, -66523.17, -67014.58, -67037.58, -66568.55, -66465.84, -66956.98, -67091.484, -66663.41]","[-88678.02, -88822.79, -88797.02, -88653.43, -88655.16, -88808.78, -88826.03, -88673.375, -88636.94, -88786.36]","[-84987.63, -84997.96, -85048.66, -85049.04, -84995.62, -84996.914, -85049.57, -85055.805, -84999.91, -84990.01]","[-87988.4, -88142.41, -88108.766, -87954.805, -87964.53, -88131.07, -88144.195, -87979.53, -87947.03, -88108.81]","[-93000.29, -93124.45, -93111.82, -92989.875, -92982.945, -93116.81, -93139.586, -93010.34, -92970.41, -93093.27]","[-72179.1, -71680.28, -71753.95, -72266.48, -72251.88, -71748.56, -71678.625, -72196.25, -72301.03, -71833.164]","[-87785.85, -87803.11, -87854.96, -87845.17, -87790.586, -87797.79, -87856.055, -87859.61, -87800.42, -87790.68]"
Left,2025-10-28 18:44:25,"[-48635.496, -49060.78, -50070.055, -49823.18, -48709.793, -48863.46, -49960.195, -49969.047, -48868.2, -48735.676]","[-66436.58, -66882.586, -67122.76, -66759.72, -66425.16, -66801.54, -67141.734, -66855.66, -66442.51, -66716.54]","[-88848.36, -88710.41, -88634.32, -88769.664, -88870.24, -88739.69, -88627.64, -88742.8, -88861.69, -88766.84]","[-85043.07, -85066.625, -85013.12, -84997.36, -85045.51, -85075.26, -85020.94, -84996.914, -85035.29, -85081.71]","[-88169.18, -88018.31, -87942.914, -88090.21, -88192.14, -88047.01, -87931.56, -88056.77, -88179.71, -88073.31]","[-93150.72, -93034.58, -92964.64, -93078.63, -93169.336, -93060.68, -92957.75, -93052.68, -93163.39, -93090.5]","[-71640.72, -72123.72, -72343.08, -71927.22, -71608.89, -72033.1, -72365.61, -72031.49, -71625.61, -71941.99]","[-87845.75, -87865.734, -87808.56, -87791.75, -87845.95, -87876.76, -87820.164, -87790.08, -87829.484, -87874.45]"
Left,2025-10-28 18:44:25,"[-49795.06, -50064.242, -49040.754, -48629.06, -49610.637, -50139.746, -49247.867, -48580.355, -49405.535, -50151.01]","[-67131.03, -66942.83, -66481.51, -66633.03, -67099.625, -67020.03, -66541.52, -66558.6, -67050.984, -67087.8]","[-88636.734, -88715.93, -88850.266, -88797.29, -88649.25, -88686.24, -88837.92, -88827.8, -88679.25, -88671.6]","[-85042.914, -85004.31, -85023.53, -85077.87, -85054.36, -85005.3, -85015.77, -85077.16, -85077.086, -85020.47]","[-87937.51, -88026.02, -88167.1, -88103.67, -87948.03, -87994.93, -88156.71, -88140.26, -87981.336, -87979.28]","[-92974.74, -93036.27, -93154.07, -93116.18, -92986.74, -93011.95, -93142.445, -93144.97, -93017.32, -93001.41]","[-72355.5, -72117.59, -71647.17, -71843.695, -72324.48, -72198.26, -71698.25, -71758.734, -72275.51, -72277.2]","[-87832.09, -87790.66, -87816.05, -87869.94, -87844.81, -87792.625, -87810.33, -87870.54, -87863.48, -87806.46]"
Left,2025-10-28 18:44:25,"[-49456.05, -48562.785, -49201.867, -50100.363, -49620.516, -48599.31, -48994.734, -49998.527, -49782.61, -48671.348]","[-66623.78, -66503.91, -66989.164, -67135.63, -66711.17, -66469.305, -66911.16, -67164.24, -66804.6, -66455.445]","[-88830.68, -88858.96, -88703.79, -88665.81, -88809.72, -88870.96, -88739.71, -88666.914, -88792.06, -88888.15]","[-85022.93, -85079.88, -85086.63, -85032.09, -85020.54, -85070.0, -85098.164, -85051.54, -85024.38, -85065.484]","[-88149.85, -88174.91, -88007.89, -87973.65, -88130.734, -88192.07, -88047.81, -87976.11, -88113.125, -88211.56]","[-93137.26, -93169.6, -93038.734, -92998.73, -93119.13, -93177.516, -93068.33, -93001.45, -93100.76, -93187.53]","[-71781.15, -71702.09, -72217.95, -72336.125, -71867.54, -71650.016, -72130.484, -72372.42, -71968.68, -71635.125]","[-87812.9, -87875.305, -87878.92, -87821.28, -87810.305, -87862.23, -87887.305, -87837.33, -87811.78, -87858.13]"
Left,2025-10-28 18:44:25,"[-48788.875, -49848.08, -49898.773, -48812.098, -48656.33, -49715.555, -49998.55, -48954.32, -48526.555, -49508.758]","[-66820.92, -67167.016, -66898.55, -66484.64, -66749.88, -67166.91, -66985.586, -66518.28, -66662.555, -67139.5]","[-88770.195, -88663.96, -88765.98, -88891.14, -88807.57, -88674.445, -88752.875, -88891.68, -88831.95, -88689.58]","[-85104.13, -85063.74, -85030.39, -85064.39, -85112.984, -85077.375, -85043.74, -85067.55, -85115.47, -85097.96]","[-88081.14, -87971.64, -88084.41, -88214.65, -88119.9, -87982.32, -88072.555, -88219.74, -88149.4, -87998.95]","[-93094.01, -92999.484, -93078.945, -93188.94, -93123.6, -93006.37, -93072.016, -93196.13, -93153.13, -93030.33]","[-72040.86, -72375.77, -72056.99, -71648.16, -71961.82, -72388.27, -72160.53, -71691.48, -71882.65, -72370.945]","[-87891.62, -87845.26, -87812.78, -87855.39, -87904.695, -87859.92, -87819.04, -87848.7, -87898.77, -87877.54]"
Left,2025-10-28 18:44:25,"[-50033.91, -49142.703, -48455.387, -49290.76, -50043.254, -49334.367, -48426.934, -49052.668, -49947.23, -49465.305]","[-67071.04, -66591.62, -66599.59, -67096.12, -67145.31, -66683.5, -66552.3, -67035.01, -67187.805, -66769.4]","[-88731.22, -88882.9, -88865.91, -88714.21, -88717.54, -88877.06, -88895.73, -88746.305, -88709.05, -88854.016]","[-85058.02, -85073.266, -85128.23, -85124.92, -85081.06, -85088.15, -85134.76, -85144.74, -85094.7, -85083.19]","[-88048.91, -88211.18, -88188.63, -88028.234, -88037.15, -88210.02, -88225.35, -88064.29, -88031.02, -88189.52]","[-93062.516, -93196.13, -93188.83, -93060.08, -93057.6, -93199.53, -93222.35, -93095.44, -93056.98, -93179.08]","[-72259.52, -71761.305, -71811.15, -72330.445, -72341.31, -71844.81, -71755.29, -72268.24, -72390.77, -71930.84]","[-87833.414, -87849.22, -87904.41, -87895.086, -87846.83, -87855.01, -87907.086, -87910.125, -87853.11, -87844.836]"
Left,2025-10-28 18:44:25,"[-48429.77, -48798.887, -49805.61, -49604.957, -48491.93, -48580.42, -49630.24, -49666.78, -48581.113, -48377.47]","[-66520.24, -66954.74, -67213.04, -66863.055, -66508.87, -66861.82, -67210.35, -66938.984, -66515.7, -66766.984]","[-88914.79, -88785.58, -88709.58, -88833.74, -88929.88, -88812.734, -88708.59, -88807.234, -88923.98, -88840.336]","[-85128.09, -85154.58, -85104.4, -85079.945, -85120.586, -85154.76, -85112.695, -85078.54, -85103.69, -85151.74]","[-88251.08, -88107.516, -88029.71, -88165.12, -88263.04, -88134.05, -88026.6, -88133.64, -88255.664, -88160.375]","[-93235.695, -93125.46, -93050.914, -93153.484, -93243.01, -93149.086, -93056.66, -93131.43, -93235.36, -93173.41]","[-71713.47, -72182.97, -72422.47, -72025.34, -71688.82, -72087.93, -72435.055, -72118.04, -71698.23, -71992.8]","[-87896.086, -87921.01, -87870.9, -87847.695, -87890.01, -87920.61, -87875.39, -87840.66, -87869.984, -87912.92]"
Left,2025-10-28 18:44:25,"[-49408.375, -49731.758, -48717.46, -48237.97, -49199.81, -49738.98, -48859.93, -48148.473, -48946.477, -49700.02]","[-67190.1, -67027.45, -66557.195, -66679.59, -67157.805, -67099.16, -66623.33, -66617.32, -67113.62, -67168.6]","[-88706.14, -88767.766, -88907.195, -88852.81, -88704.82, -88742.234, -88893.695, -88886.2, -88736.9, -88736.695]","[-85117.766, -85075.12, -85096.266, -85146.35, -85131.89, -85089.05, -85100.375, -85156.03, -85154.24, -85105.09]","[-88020.08, -88090.195, -88239.52, -88176.49, -88021.195, -88067.82, -88230.47, -88216.68, -88057.67, -88064.95]","[-93055.945, -93103.305, -93230.555, -93194.77, -93070.516, -93096.6, -93228.75, -93229.59, -93101.07, -93092.71]","[-72420.57, -72207.0, -71726.305, -71898.9, -72388.49, -72283.17, -71784.86, -71823.84, -72346.31, -72365.61]","[-87874.3, -87830.64, -87851.875, -87901.92, -87880.87, -87836.27, -87853.016, -87910.195, -87905.73, -87854.9]"
Left,2025-10-28 18:44:25,"[-49026.76, -48125.25, -48716.633, -49622.15, -49155.152, -48126.234, -48473.09, -49503.1, -49327.26, -48216.445]","[-66708.36, -66568.86, -67047.74, -67212.79, -66798.48, -66536.96, -66964.44, -67235.1, -66889.12, -66529.12]","[-88888.555, -88920.83, -88777.664, -88739.94, -88887.73, -88943.445, -88813.16, -88734.46, -88854.69, -88957.91]","[-85103.305, -85158.18, -85175.03, -85125.26, -85118.86, -85157.4, -85185.875, -85140.52, -85111.82, -85154.42]","[-88230.56, -88262.77, -88109.77, -88075.305, -88238.12, -88296.74, -88154.37, -88075.06, -88208.61, -88315.41]","[-93220.945, -93259.63, -93140.37, -93097.23, -93221.33, -93274.63, -93165.24, -93091.51, -93190.26, -93286.21]","[-71871.61, -71767.12, -72278.59, -72419.41, -71967.875, -71739.76, -72205.34, -72464.02, -72076.484, -71736.43]","[-87858.43, -87914.59, -87926.94, -87875.64, -87871.52, -87916.61, -87939.72, -87889.23, -87863.945, -87912.516]"
Left,2025-10-28 18:44:25,"[-48281.957, -49357.414, -49430.035, -48316.133, -48101.78, -49139.574, -49488.977, -48493.094, -48005.312, -48950.03]","[-66877.67, -67235.836, -66978.26, -66548.23, -66790.41, -67230.09, -67079.016, -66614.39, -66728.65, -67203.09]","[-88843.24, -88727.33, -88831.87, -88959.12, -88871.45, -88738.664, -88801.266, -88943.56, -88898.97, -88750.64]","[-85194.14, -85148.57, -85120.67, -85154.914, -85200.13, -85176.64, -85138.33, -85160.57, -85215.53, -85198.055]","[-88188.38, -88067.86, -88182.57, -88315.695, -88215.984, -88076.85, -88149.58, -88302.53, -88251.44, -88094.93]","[-93193.97, -93091.195, -93176.94, -93291.914, -93224.12, -93110.414, -93159.414, -93284.625, -93257.11, -93129.195]","[-72128.586, -72478.26, -72166.25, -71740.12, -72028.07, -72469.766, -72268.305, -71795.39, -71956.3, -72446.25]","[-87947.14, -87894.15, -87861.49, -87902.39, -87946.516, -87916.5, -87873.875, -87902.35, -87957.445, -87935.2]"
Left,2025-10-28 18:44:25,"[-49512.848, -48663.168, -47922.543, -48709.84, -49490.516, -48848.484, -47917.83, -48503.152, -49421.137, -48976.023]","[-67151.86, -66675.81, -66656.164, -67149.58, -67213.73, -66760.97, -66604.31, -67074.92, -67244.42, -66831.41]","[-88780.305, -88929.55, -88929.14, -88778.625, -88765.62, -88923.086, -88962.87, -88814.45, -88773.98, -88917.61]","[-85150.336, -85158.49, -85219.695, -85220.07, -85165.664, -85166.49, -85216.31, -85224.32, -85175.44, -85159.875]","[-88133.086, -88293.484, -88286.26, -88124.08, -88115.45, -88282.87, -88317.445, -88153.0, -88113.484, -88268.54]","[-93145.33, -93272.914, -93281.12, -93151.68, -93131.13, -93263.8, -93300.586, -93171.62, -93130.6, -93247.97]","[-72352.42, -71857.8, -71885.984, -72405.93, -72434.94, -71946.625, -71829.37, -72336.8, -72474.5, -72015.266]","[-87885.49, -87899.62, -87962.07, -87959.52, -87906.88, -87911.445, -87971.91, -87982.164, -87933.15, -87923.78]"
Left,2025-10-28 18:44:25,"[-47935.574, -48279.344, -49307.883, -49149.34, -48030.03, -48071.605, -49145.16, -49232.668, -48122.5, -47895.473]","[-66559.43, -66981.96, -67258.7, -66920.32, -66550.914, -66889.72, -67256.53, -67007.555, -66573.58, -66809.7]","[-88977.11, -88843.76, -88763.9, -88881.086, -88988.016, -88874.47, -88762.484, -88866.53, -88995.51, -88906.86]","[-85195.414, -85221.66, -85178.836, -85153.24, -85197.05, -85237.305, -85195.086, -85168.57, -85200.4, -85243.79]","[-88326.766, -88177.54, -88095.086, -88223.695, -88334.01, -88207.36, -88091.89, -88206.76, -88340.266, -88239.234]","[-93301.32, -93190.44, -93119.266, -93216.54, -93315.78, -93224.766, -93123.67, -93207.914, -93321.84, -93252.39]","[-71773.89, -72235.79, -72492.14, -72105.74, -71750.664, -72135.36, -72498.29, -72200.76, -71773.84, -72056.7]","[-87970.19, -87994.08, -87946.65, -87922.51, -87971.91, -88010.69, -87965.78, -87935.09, -87973.6, -88018.06]"
